symbol,name,currency,exchange,type
CYM,Cymat Technologies Ltd.,CAD,TSXV,Common Stock
CYTO,Cytophage Technologies Ltd.,CAD,TSXV,Common Stock
CZ.H,Cassius Ventures Ltd.,CAD,TSXV,Common Stock
CZZ,Cleghorn Minerals Ltd.,CAD,TSXV,Common Stock
DAN,Arianne Phosphate Inc.,CAD,TSXV,Common Stock
DAQ.PR.,Dominus Acquisitions Corp.,CAD,TSXV,Common Stock
DAR,Darelle Online Solutions Inc.,CAD,TSXV,Common Stock
DAT.H,Datum Ventures Inc.,CAD,TSXV,Common Stock
DAU,Desert Gold Ventures Inc.,CAD,TSXV,Common Stock
DB,Decibel Cannabis Company Inc.,CAD,TSXV,Common Stock
DBG,Doubleview Gold Corp.,CAD,TSXV,Common Stock
DCOP,District Copper Corp.,CAD,TSXV,Common Stock
DCY,Discovery-Corp Enterprises Inc.,CAD,TSXV,Common Stock
DDD,Metavista3D Inc.,CAD,TSXV,Common Stock
DE,Decisive Dividend Corp.,CAD,TSXV,Common Stock
DEAL,Playgon Games Inc.,CAD,TSXV,Common Stock
DEC,Decade Resources Ltd.,CAD,TSXV,Common Stock
DEF,Defiance Silver Corp,CAD,TSXV,Common Stock
DEFN,Defense Metals Corp.,CAD,TSXV,Common Stock
DELX,DelphX Capital Markets Inc.,CAD,TSXV,Common Stock
DEX,Almadex Minerals Ltd.,CAD,TSXV,Common Stock
DFR,Dfr Gold Inc.,CAD,TSXV,Common Stock
DFSC,DEFSEC Technologies Inc.,CAD,TSXV,Common Stock
DG,Dixie Gold Inc.,CAD,TSXV,Common Stock
DGC,Daura Gold Corp.,CAD,TSXV,Common Stock
DGL.PR.,DGL Investments No. 1 Inc.,CAD,TSXV,Common Stock
DGTL.H,DGTL Holdings Inc.,CAD,TSXV,Common Stock
DGX,Digi Power X Inc.,CAD,TSXV,Common Stock
DHB,Delivra Health Brands Inc.,CAD,TSXV,Common Stock
DHR,Discovery Harbour Resources Corp.,CAD,TSXV,Common Stock
DIA,Margaret Lake Diamonds Inc.,CAD,TSXV,Common Stock
DIG.H,District Mines Ltd.,CAD,TSXV,Common Stock
DLC,DLC Holdings Corp,CAD,TSXV,Common Stock
DLP,DLP Resources Inc.,CAD,TSXV,Common Stock
DLTA,Delta Resources Ltd.,CAD,TSXV,Common Stock
DM,Datametrex AI Limited,CAD,TSXV,Common Stock
DMCU,Domestic Metals Corp.,CAD,TSXV,Common Stock
DME,Desert Mountain Energy Corp.,CAD,TSXV,Common Stock
DMGI,Dmg Blockchain Solutions Inc.,CAD,TSXV,Common Stock
DMI,Diamcor Mining Inc.,CAD,TSXV,Common Stock
DMX,District Metals Corp,CAD,TSXV,Common Stock
DNO,Dinero Ventures Ltd.,CAD,TSXV,Common Stock
DOS,Dios Exploration Inc.,CAD,TSXV,Common Stock
DPF,Dr Phone Fix Canada Corp.,CAD,TSXV,Common Stock
DRAX.PR.,Draxos Capital Corp.,CAD,TSXV,Common Stock
DRY,Dryden Gold Corporation,CAD,TSXV,Common Stock
DSY,Destiny Media Technologies Inc.,CAD,TSXV,Common Stock
DTEA,DavidsTea Inc.,CAD,TSXV,Common Stock
